,date,address,eircode,county,price,not_full_market,vat_exclusive,description,size_description
0,1/1/2010,"5 Braemor Drive, Churchtown, Co.Dublin",,Dublin,343000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
1,3/1/2010,"134 Ashewood Walk, Summerhill Lane, Portlaoise",R32 1R8H,Laois,185000,FALSE,TRUE,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2,4/1/2010,"1 Meadow Avenue, Dundrum, Dublin 14",D14 P90N,Dublin,438500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
3,4/1/2010,"1 The Haven, Mornington",,Meath,400000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
4,4/1/2010,"11 Melville Heights, Kilkenny",R95 753D,Kilkenny,160000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
5,4/1/2010,"12 Sallymount Avenue, Ranelagh",,Dublin,425000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
6,4/1/2010,"13  Oakleigh Wood, Dooradoyle, Limerick",V94 VT9F,Limerick,172500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
7,4/1/2010,"13 The Drive, Chapelstown Gate, Tullow Road",,Carlow,177500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
8,4/1/2010,"15 Carriglawn, Waterpark, Carrigaline",P43 ADAH,Cork,180000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
9,4/1/2010,"15a Moore Bay, Kilkee",,Clare,126500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
10,4/1/2010,"206 Philipsburgh Avenue, Marino, Dublin 3",D03 W5PA,Dublin,430000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
11,4/1/2010,"22 Laverna Way, Castleknock, Dublin 15",D15 XV99,Dublin,355000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
12,4/1/2010,"23 Elton Park, Sandycove",,Dublin,1800000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
13,4/1/2010,"25  Lavallin Drive, Whitechurch, Cork",,Cork,352000,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
14,4/1/2010,"25 Fairway Lawns, Bettystown",,Meath,273000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
15,4/1/2010,"29 Carysfort Woods, Blackrock",A94 2N8R,Dublin,547500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
16,4/1/2010,"33 RAGIAN ROAD, BALLSBRIDGE, DUBLIN 4",D04 TVWR,Dublin,700000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
17,4/1/2010,"4 Hawthorn Court, Collooney",,Sligo,220000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
18,4/1/2010,"44 Allen Park Road, Stillorgan, County Dublin",,Dublin,350000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
19,4/1/2010,"48 KILLIANS COURT, MULLAGH",,Cavan,122000,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
20,4/1/2010,"49 ballynakelly green, newcastle",,Dublin,499600,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
21,4/1/2010,"5 Clancy Road, Finglas, Dublin 11",D11 CTT9,Dublin,205000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
22,4/1/2010,"54., brides glen avenue, swords",K67 1V2D,Dublin,337500,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
23,4/1/2010,"59 ormond keep, nenagh",E45 28F2,Tipperary,128000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
24,4/1/2010,"66 Rory O'Connor Place, Arklow",Y14 VPDE,Wicklow,145000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
25,4/1/2010,"78 Sundays Well Road, Cork",,Cork,510000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
26,4/1/2010,"90 Suncroft Drive, Tallaght, Dublin 24",D24 XTP0,Dublin,147950,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
27,4/1/2010,"Aughmagree, Kilteevan",,Roscommon,215000,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
28,4/1/2010,"Ballyeden, Ballyoughter, Gorey",Y25 01NW,Wexford,255022,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
29,4/1/2010,"CARROWTRASNA, CARROWMORE LACKEN, BALLINA",F26 H02X,Mayo,245000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
30,4/1/2010,"Cloonlaughnan, Mount Talbot",,Roscommon,145000,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
31,4/1/2010,"Killult, Falcarragh",,Donegal,215000,FALSE,TRUE,New Dwelling house /Apartment,greater than 125 sq metres
32,4/1/2010,"Knocknaree, Windsor Hill, Glounthaune",,Cork,475000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
33,4/1/2010,"Knock, Lanesboro",,Longford,125000,FALSE,FALSE,Second-Hand Dwelling house /Apartment,
